,Bath(s),Area(Marla),Bedroom(s),Servant Quarters,Kitchens,Store Rooms,Storey Unit,Main Location,IsPrimeLoc,SolarInstalled,WaterBore,CornerHouse,luxury_type,Property era
3114,6.0,20.0,6.0,2.0,2.0,2.0,2.0,DHA Phase 2,True,False,False,False,0,Brand New (2025)
1364,5.0,10.0,5.0,1.0,2.0,1.0,2.0,Top City 1,True,False,False,False,0,Brand New (2025)
1566,4.0,7.0,4.0,1.0,2.0,1.0,1.0,MPCHS - Multi Gardens,True,False,False,False,0,Brand New (2025)
246,6.0,40.0,5.0,1.0,2.0,1.0,1.0,G-11,True,False,False,True,0,Recently Built
1365,7.0,40.0,6.0,1.0,2.0,1.0,2.0,DHA Phase 5,False,False,False,True,0,Recently Built
5578,5.0,26.0,5.0,2.0,1.0,2.0,2.0,F-8,False,False,False,False,0,Modern Era
4492,5.0,10.0,5.0,1.0,2.0,1.0,2.0,Bahria Town,False,False,False,False,0,Recently Built
2919,5.0,7.0,4.0,1.0,2.0,2.0,2.0,Gulberg Residencia,False,False,False,False,0,Recently Built
6319,6.0,24.0,6.0,1.0,2.0,1.0,2.0,F-7,False,False,False,False,0,Recently Built
4619,5.0,10.0,5.0,1.0,2.0,1.0,2.0,Bani Gala,False,False,True,False,1,Recently Built
4420,5.0,5.0,3.0,1.0,2.0,1.0,2.0,Bahria Enclave,True,False,False,False,0,Brand New (2025)
5061,6.0,8.0,7.0,1.0,1.0,3.0,3.0,D-12,False,True,True,True,0,Brand New (2025)
291,5.0,14.0,5.0,1.0,2.0,1.0,2.0,I-8,False,False,False,False,0,Recently Built
3614,4.0,8.0,4.0,1.0,2.0,1.0,2.0,MPCHS - Multi Gardens,False,False,False,False,0,Recently Built
780,4.0,5.0,4.0,1.0,2.0,1.0,2.0,D-12,False,False,False,False,0,Recently Built
2312,6.0,5.0,4.0,1.0,2.0,1.0,2.0,Bani Gala,False,False,False,False,1,Recently Built
5478,5.0,5.0,4.0,1.0,1.0,1.0,2.0,Bahria Enclave,True,False,False,False,0,Brand New (2025)
2071,6.0,10.0,6.0,1.0,2.0,1.0,2.0,Bani Gala,True,False,False,False,0,Brand New (2025)
4749,4.0,5.0,3.0,1.0,2.0,1.0,2.0,Bahria Enclave,False,False,False,True,0,Brand New (2025)
1001,6.0,26.0,5.0,2.0,2.0,1.0,1.0,F-8,False,False,False,True,0,Recently Built
3450,7.0,7.0,6.0,1.0,2.0,1.0,2.0,G-13,True,False,True,False,0,Brand New (2025)
2554,6.0,10.0,6.0,1.0,2.0,2.0,2.0,G-13,False,False,True,False,0,Brand New (2025)
4563,8.0,20.0,8.0,2.0,2.0,3.0,3.0,F-11,False,False,False,True,0,Modern Era
6262,6.0,20.0,6.0,2.0,2.0,2.0,2.0,DHA Phase 2,True,False,False,False,0,Brand New (2025)
850,6.0,20.0,7.0,1.0,2.0,1.0,1.0,Top City 1,False,False,False,False,0,Brand New (2025)
3336,6.0,10.0,5.0,1.0,1.0,1.0,2.0,E-16,False,False,False,False,0,Brand New (2025)
2065,6.0,10.0,5.0,1.0,2.0,1.0,2.0,Top City 1,False,False,False,True,1,Brand New (2025)
4891,6.0,6.0,5.0,1.0,2.0,1.0,2.0,Bani Gala,False,False,False,False,0,Modern Era
3430,6.0,20.0,5.0,2.0,1.0,1.0,2.0,DHA Phase 2,True,False,False,False,0,Brand New (2025)
1501,4.0,10.0,4.0,1.0,1.0,1.0,2.0,Top City 1,False,False,False,False,0,Recently Built
271,6.0,14.0,6.0,1.0,1.0,1.0,2.0,I-8,False,False,False,False,0,Recently Built
3904,4.0,20.0,3.0,1.0,1.0,1.0,1.0,E-18,False,False,False,False,0,Recently Built
822,7.0,10.0,5.0,1.0,2.0,1.0,2.0,Top City 1,False,False,False,False,1,Brand New (2025)
450,6.0,42.0,4.0,2.0,2.0,1.0,2.0,F-7,False,False,True,False,0,Recently Built
867,6.0,20.0,5.0,2.0,2.0,1.0,3.0,F-7,False,False,False,False,0,Recently Built
303,3.0,8.0,3.0,1.0,1.0,1.0,2.0,DHA Valley,False,False,False,False,0,Modern Era
2425,5.0,4.0,4.0,1.0,2.0,1.0,2.0,G-13,False,False,False,False,0,Modern Era
1355,6.0,20.0,5.0,1.0,2.0,1.0,2.0,DHA Phase 2,False,False,False,True,0,Brand New (2025)
5493,3.0,5.0,3.0,1.0,1.0,1.0,1.0,Bahria Enclave,False,False,False,False,0,Brand New (2025)
5521,4.0,14.0,4.0,1.0,2.0,1.0,1.0,I-8,False,False,False,False,0,Established
5972,4.0,5.0,4.0,1.0,1.0,1.0,2.0,National Police Foundation O-9,False,False,False,False,0,Future
151,6.0,14.0,6.0,1.0,2.0,1.0,3.0,I-8,True,False,False,False,0,Recently Built
3918,5.0,4.0,4.0,1.0,2.0,1.0,2.0,G-13,False,False,True,False,0,Recently Built
1576,6.0,5.0,4.0,1.0,1.0,1.0,2.0,B-17,False,False,False,False,0,Brand New (2025)
4661,6.0,8.0,5.0,1.0,2.0,1.0,2.0,G-13,True,False,False,False,0,Recently Built
295,4.0,5.0,4.0,1.0,2.0,1.0,2.0,B-17,True,False,False,False,1,Brand New (2025)
5624,7.0,20.0,6.0,2.0,2.0,1.0,2.0,DHA Phase 2,True,False,False,False,0,Brand New (2025)
2898,6.0,14.0,6.0,2.0,2.0,1.0,2.0,I-8,False,False,False,True,0,Recently Built
2998,6.0,20.0,6.0,1.0,2.0,1.0,2.0,F-8,True,False,False,True,0,Recently Built
695,6.0,20.0,6.0,2.0,2.0,1.0,2.0,E-11,False,False,True,False,0,Modern Era
5335,6.0,8.0,7.0,1.0,2.0,1.0,2.0,G-15,False,False,False,False,0,Brand New (2025)
3495,4.0,4.0,4.0,1.0,2.0,1.0,2.0,G-13,True,False,False,False,1,Brand New (2025)
6131,6.0,7.0,5.0,1.0,2.0,1.0,2.0,G-13,True,False,True,False,0,Brand New (2025)
5905,5.0,5.0,4.0,1.0,2.0,1.0,2.0,MPCHS - Multi Gardens,False,False,True,False,1,Brand New (2025)
5656,6.0,5.0,4.0,1.0,2.0,1.0,2.0,Mumtaz City,False,False,False,False,1,Brand New (2025)
2589,5.0,4.0,5.0,1.0,2.0,1.0,3.0,Park Road,False,False,False,False,1,Brand New (2025)
4779,6.0,8.0,5.0,2.0,2.0,2.0,2.0,Bahria Enclave,False,False,False,False,0,Brand New (2025)
2546,6.0,8.0,4.0,1.0,2.0,1.0,2.0,B-17,True,False,False,False,0,Brand New (2025)
5016,3.0,5.0,3.0,1.0,2.0,1.0,2.0,Bahria Enclave,False,False,False,False,1,Brand New (2025)
5564,6.0,20.0,8.0,2.0,2.0,1.0,3.0,F-11,False,True,False,False,0,Established
522,6.0,20.0,6.0,2.0,2.0,2.0,2.0,DHA Phase 2,False,False,False,False,0,Recently Built
184,4.0,5.0,4.0,1.0,2.0,1.0,2.0,D-12,False,False,True,False,1,Brand New (2025)
1636,6.0,20.0,8.0,1.0,1.0,2.0,1.0,B-17,False,True,False,False,0,Brand New (2025)
3389,6.0,5.0,6.0,2.0,2.0,2.0,2.0,B-17,False,False,False,True,0,Brand New (2025)
1660,4.0,5.0,3.0,1.0,2.0,1.0,2.0,Bani Gala,False,False,False,False,0,Brand New (2025)
4876,3.0,10.0,4.0,1.0,1.0,1.0,2.0,F-6,True,False,False,False,0,Recently Built
3354,6.0,7.0,5.0,1.0,2.0,1.0,2.0,G-13,True,False,True,False,0,Brand New (2025)
4111,4.0,5.0,4.0,1.0,1.0,1.0,2.0,B-17,True,False,False,False,0,Brand New (2025)
1524,4.0,8.0,3.0,1.0,1.0,1.0,2.0,DHA Valley,False,False,False,False,0,Recently Built
