,Price(Cr)
1431,5.5
4880,2.7
5921,12.5
848,14.0
4007,4.3
3695,4.9
1963,7.85
1448,28.0
963,8.5
3554,22.0
660,17.0
3803,3.5
5048,1.95
3061,3.3
5378,13.25
4175,1.6
2509,2.8
5651,7.25
1816,2.05
2957,1.35
424,23.0
2302,7.25
2994,6.4
852,5.5
3544,5.5
3166,8.5
5213,7.5
4954,32.0
627,4.2
1525,23.0
5691,3.15
809,5.5
5079,35.0
4293,3.75
5988,9.5
4723,0.7
5984,2.25
5885,2.6
1723,3.65
2549,3.5
6302,4.8
6126,5.25
3537,8.5
3178,4.1
3510,15.4
6251,1.8
1874,14.5
4151,5.5
4204,3.7
5425,3.2
3099,13.5
2796,5.5
2367,33.5
5968,3.1
3203,13.9
3532,0.8
5704,38.0
3358,3.25
5479,2.6
1641,7.5
4253,16.4
1405,8.3
1141,2.6
2541,45.0
5654,4.0
669,0.9
1324,5.5
4495,5.15
1731,1.36
1853,3.5
3500,28.5
47,4.5
1408,18.0
1419,11.75
4457,6.25
2087,5.0
2316,5.0
49,2.4
2195,6.1
4244,2.8
228,13.7
1981,2.8
3974,11.9
6111,9.5
4372,1.95
4391,2.9
2446,3.65
1881,2.5
2035,4.0
2863,6.7
840,24.0
4788,3.6
3018,4.25
1297,8.05
1119,5.5
215,2.2
2,4.3
4604,11.0
5642,25.0
1229,4.9
3630,8.5
3999,0.7
2381,23.25
2638,16.5
2836,7.5
1508,4.0
2298,2.2
4057,33.5
65,5.6
2666,3.65
2834,11.75
4807,13.5
3762,2.3
4482,1.5
4550,8.9
1181,0.65
6057,5.9
2050,4.95
5596,11.0
4167,9.8
2395,12.45
2379,10.5
1106,10.7
3852,70.0
3360,5.65
2769,3.25
1572,3.5
5696,12.0
1933,1.68
2163,13.75
1157,5.2
4089,2.98
4125,14.5
3135,1.15
4813,2.9
6415,25.0
3296,5.35
1393,4.6
585,15.5
3884,22.0
6283,7.5
1008,6.25
634,3.0
421,2.84
6298,3.8
200,2.6
5809,16.5
3023,16.5
4772,7.9
1676,3.7
3042,35.0
3874,2.75
6097,19.0
491,2.9
4024,2.6
366,3.0
3570,2.6
5280,2.9
2623,9.0
376,1.4
1000,3.5
1066,2.15
320,2.8
455,11.75
703,51.0
3022,2.8
6322,33.5
4183,3.6
1164,2.4
2837,3.5
5752,2.9
1892,14.9
2676,12.8
5757,7.5
333,6.0
3625,2.8
795,14.5
1049,2.5
446,6.25
1631,1.55
2140,1.55
6368,2.5
21,2.9
5933,11.0
4764,5.5
5994,4.5
5449,50.0
524,2.08
241,10.0
1724,2.2
4172,5.8
1617,33.0
3297,4.3
3930,66.0
1704,4.29
4935,2.4
886,11.0
2170,3.9
588,5.5
1358,12.0
3565,4.75
4394,2.6
3893,1.75
4766,7.5
1032,7.9
1183,0.67
2250,24.5
6189,50.0
185,12.5
902,3.8
484,0.62
572,12.9
5209,4.2
2696,11.25
6108,11.9
1014,13.5
1504,2.45
4356,1.0
5867,4.5
2317,11.0
6199,11.0
5722,3.65
1608,3.4
3694,3.4
1778,8.5
6265,3.25
3567,4.0
2231,6.0
2594,4.35
