,Price(Cr)
2029,0.75
3955,1.15
2930,1.2
5604,1.7
2911,1.32
4596,0.65
6433,0.3
2040,3.4
104,3.05
1502,0.75
5438,2.8
1404,1.1
1785,1.85
1924,6.78
853,8.3
3529,0.95
5087,1.7
3936,0.32
6332,1.15
391,4.9
3912,8.5
4152,0.654
4236,0.772
2651,0.672
5788,1.1
3856,2.45
589,0.7
4264,0.66
5536,2.05
6476,3.0
3011,3.35
2253,1.4
2684,1.85
5372,2.0
1973,1.4
2175,0.75
4417,0.75
4327,1.55
3071,0.75
2024,1.25
2420,3.1
4614,0.6
5740,2.4
4439,7.1
3017,1.19
466,1.9
2832,2.6
4186,2.75
3144,0.55
479,1.1
2520,9.0
6159,4.05
2426,3.3
1541,1.6
1095,0.71
2518,1.48
3639,2.3
3133,3.25
3349,1.4
208,8.35
5498,0.28
3837,1.3
3380,1.38
2940,4.0
4623,0.65
6481,1.1
17,5.75
3876,1.6
5547,1.45
1084,2.95
4945,1.06
5945,6.0
1819,17.17
3870,3.22
4168,2.5
3221,0.5
5784,3.5
1211,1.6
4881,1.3
1249,7.5
576,1.09
4434,1.03
4613,0.6
2237,1.85
260,12.5
4848,0.52
2777,1.8
3162,0.5
4322,0.6
4476,9.83
1915,1.0
3767,0.525
2510,0.7
1684,3.5
2023,0.73
1258,2.1
90,0.75
2621,1.99
163,3.05
3499,1.75
3141,0.65
5815,0.82
1699,0.7
3579,2.95
2102,1.23
2896,2.96
4121,3.5
4590,3.8
991,1.85
4350,0.67
2978,1.1
1976,1.6
590,2.1
3731,8.0
3309,3.3
2405,0.66
2626,0.63
2215,0.24
6160,3.8
88,1.53
495,2.6
4842,3.25
6387,1.16
3596,1.85
3800,4.8
6363,0.45
735,13.0
4407,2.95
3838,2.1
6337,0.77
5454,1.25
2344,1.45
692,13.5
1202,5.5
1993,1.25
5500,0.65
5357,1.92
5705,14.0
2031,1.85
4147,2.5
1936,0.95
593,0.5
4683,3.55
4584,1.24
85,6.0
4154,0.4284
6393,1.05
2128,1.5
2523,0.79
5224,1.05
3966,4.05
5360,1.4
3727,3.35
6094,14.0
1140,0.7925
3063,1.45
5228,3.1
894,3.15
109,4.1
5659,1.7
1801,1.3
6331,1.5
916,2.15
172,0.56
2874,1.1
4058,4.65
1914,1.05
5662,16.99
6385,0.6
2628,0.68
6002,5.6
2438,3.25
5509,1.55
4621,0.86
4462,1.58
5321,9.0
4971,0.49
6158,5.5
3070,0.85
596,0.95
3723,1.55
4562,0.65
3132,2.1
5433,3.5
3387,8.9
3540,1.85
584,0.85
5983,0.55
2017,0.63
4375,5.7
4700,3.3
5364,8.5
417,1.1
2265,5.4
5638,1.15
4425,1.75
274,0.98
580,1.2
1689,0.7
6295,3.5
815,0.78
6142,8.5
4330,3.5
5608,4.1
36,1.05
3950,1.2
6217,0.95
4118,0.55
1864,6.0
1057,0.9
5114,0.95
3485,0.75
5574,1.06
3418,0.98
6102,2.5
2383,2.5
1466,1.0
5589,2.4
1082,2.1
5104,4.5
577,1.08
1917,1.15
2439,1.9
6432,0.55
6096,1.1
2139,4.6
3597,3.25
1975,1.29
5863,0.27
4493,2.8
565,0.8
6235,1.2
1688,3.25
3713,1.5
6087,1.1
2527,0.6
5334,5.5
1886,6.75
5240,3.3
715,2.2
4431,0.79
4633,1.02
2352,1.06
560,0.9979
2881,0.8
3802,3.4
758,2.8
3421,1.95
1129,3.4
1188,3.2
5907,0.6
1686,3.35
482,2.4
4606,0.68
789,0.65
3170,9.5
995,0.78
6154,4.9
6092,2.6
4443,1.01
5548,1.35
1607,0.9064
5616,1.08
3310,4.5
868,4.5
2444,7.1
8,13.25
458,3.99
2656,0.65
6196,1.65
3708,1.2
5605,1.76
5488,1.06
5487,2.5
4911,0.8
5857,1.2
1810,0.8
4383,0.72
4710,0.55
5453,2.62
2544,0.53
5976,6.0
4713,0.75
5682,1.28
1254,0.47
2474,0.5
5575,0.5
2720,4.73
5385,3.5
4860,1.4
3770,2.2
2411,0.7
2419,4.25
5013,2.9
5456,0.8667
5483,2.25
4698,3.8
6335,0.8
4708,0.6
5325,1.26
5278,0.75
6342,1.6
6007,1.85
3055,2.2
2463,1.6
3944,2.9
2161,4.3
2608,5.5
2246,2.85
4302,0.515
4735,0.75
4556,3.0
2044,3.2
4115,0.55
2107,13.25
4583,0.65
2869,1.35
6015,1.1
5567,0.35
1968,0.63
395,2.8
3968,1.84
2206,7.0
4730,0.65
2840,1.05
3346,0.68
5839,1.3
3446,1.2
4035,0.7
802,2.5
1644,0.6
3048,3.2
3353,7.86
1675,1.2
2925,0.8865999999999999
5995,0.6
4679,0.8245
3997,3.5
2445,0.655
6119,5.5
2361,2.6
3730,11.5
2772,0.76
2618,0.78
408,1.1
3087,0.62
1698,0.68
2004,4.0
4153,0.6912
4108,2.08
3598,0.4
2949,3.5
781,1.55
529,6.05
4074,0.49
188,1.5
3964,1.4
930,5.5
5991,0.65
1581,1.43
1166,0.8
1742,3.49
1640,14.5
2280,1.75
6008,0.8
4471,5.5
4191,1.4
5866,1.02
2465,0.35
4442,0.73
5320,1.1
2039,3.7
317,0.66
70,0.78
4551,0.8
4127,3.6
1983,2.05
1583,0.8
723,1.85
2915,3.2
849,0.49
3020,7.5
4166,4.2
3394,2.65
1376,9.0
2754,0.45
1190,1.1
3963,4.5
4812,4.1
5840,0.6435
1868,0.375
6475,1.35
3116,1.35
1099,0.71
3847,9.5
786,3.9
601,1.6
2802,2.05
1687,3.3
2683,1.14
5901,0.98
4363,1.02
2210,0.75
5497,0.25
3975,3.2
3983,4.0
5489,0.8044
4294,2.0
799,5.5
156,2.94
2944,5.5
2013,0.85
5626,1.06
5813,1.3
6392,11.84
5431,0.645
388,19.64
5309,0.55
3486,1.0
2209,0.75
5323,0.52
2945,15.39
982,0.71
69,1.4
1251,1.6
2327,0.56
1627,1.3
4962,1.25
617,0.65
3230,1.85
94,0.8
2464,0.6744
5951,3.1
4446,0.58
6040,7.0
3160,0.75
4736,3.5
6243,1.93
2199,3.3
6334,0.46
2627,0.5
3724,4.65
734,2.15
3786,0.81
2657,1.12
5900,0.93
2019,0.78
4187,2.4
1925,5.6
6225,1.18
3328,1.35
2867,1.08
1054,22.5
103,0.8
5189,3.2
1877,1.55
4557,1.65
1116,1.05
3722,2.8
4615,1.08
1620,4.05
3088,0.75
5584,1.21
5998,1.5
1439,1.45
2933,1.17
5138,0.56
502,0.7
3356,1.43
4332,1.85
5452,1.39
383,9.5
5832,4.1
1341,0.7
4673,0.7
1902,3.3
481,1.07
6435,0.5
4055,0.99
4252,1.45
4366,1.55
4931,1.95
3332,0.95
5650,0.36
4348,0.31
