,Bath(s),Area(Marla),Bedroom(s),Servant Quarters,Kitchens,Store Rooms,Building,Main Location,luxury_type,Parking Spaces,Floor,Elevators,Floor in Building,Price per Unit,Property era,Floor Level,Building Type,Elevator Capacity
4607,2.0,4.0,2.0,1.0,1.0,1.0,I-12,I-12,1,1.0,1.0,2.0,9.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Dual Setup
3496,1.0,2.0,1.0,1.0,1.0,1.0,H-13,H-13,0,1.0,7.0,1.0,7.0,0.0,Recently Built,Mid-Level,Mid Rise Core,Single/None
3229,3.0,7.0,2.0,1.0,1.0,1.0,Constitution Avenue,Constitution Avenue,0,2.0,7.0,1.0,24.0,1.0,Recently Built,Mid-Level,High Rise,Single/None
2368,1.0,5.0,1.0,1.0,1.0,1.0,Executive Apartments,DHA Phase 2,1,1.0,1.0,1.0,20.0,0.0,Recently Built,Ground/First Floor,High Rise,Single/None
1189,1.0,3.0,1.0,1.0,1.0,1.0,Kazani Heights,Islamabad Expressway,0,1.0,6.0,4.0,12.0,0.0,Recently Built,Mid-Level,Mid Rise Core,Multiple Bank
2500,2.0,4.0,2.0,1.0,1.0,0.0,D-17,D-17,0,2.0,1.0,1.0,4.0,0.0,Modern Era,Ground/First Floor,Lower Levels,Single/None
6156,1.0,2.0,1.0,0.0,1.0,0.0,Bahria Enclave,Bahria Town,0,1.0,2.0,1.0,3.0,0.0,Brand New (2025),Lower Floors,Lower Levels,Single/None
385,4.0,13.0,2.0,1.0,1.0,1.0,The Centaurus,F-8,0,1.0,1.0,4.0,1.0,1.0,Recently Built,Ground/First Floor,Ground/Flat,Multiple Bank
189,2.0,4.0,2.0,1.0,1.0,1.0,F-11,F-11,0,1.0,4.0,4.0,6.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Multiple Bank
6258,1.0,3.0,1.0,1.0,1.0,1.0,The Centaurus,F-8,0,4.0,13.0,10.0,21.0,1.0,Recently Built,High-Rise,High Rise,High-Capacity
503,1.0,2.0,1.0,2.0,1.0,2.0,Top City 1,Top City 1,0,1.0,1.0,1.0,1.0,0.0,Recently Built,Ground/First Floor,Ground/Flat,Single/None
