,Bath(s),Area(Marla),Bedroom(s),Servant Quarters,Kitchens,Store Rooms,Building,Main Location,luxury_type,Parking Spaces,Floor,Elevators,Floor in Building,Price per Unit,Property era,Floor Level,Building Type,Elevator Capacity
330,2.0,5.0,1.0,1.0,2.0,1.0,Cube Apartments,Bahria Enclave,1,1.0,1.0,4.0,9.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Multiple Bank
4463,1.0,2.0,1.0,1.0,1.0,1.0,Smama Star Mall & Residency,Gulberg Greens,0,1.0,4.0,2.0,5.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
2012,2.0,5.0,2.0,1.0,1.0,1.0,Al-Ghurair Giga,DHA Phase 2,1,1.0,1.0,2.0,8.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Dual Setup
4824,5.0,13.0,4.0,1.0,1.0,1.0,Askari Heights 4,DHA Phase 5,0,1.0,1.0,1.0,12.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
1334,1.0,4.0,1.0,1.0,1.0,1.0,The Royal Mall and Residency,Bahria Enclave,0,1.0,1.0,10.0,9.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,High-Capacity
4170,4.0,10.0,3.0,1.0,1.0,1.0,Eighteen,Kashmir Highway,0,2.0,4.0,1.0,10.0,1.0,Recently Built,Lower Floors,Mid Rise Core,Single/None
700,3.0,6.0,2.0,1.0,1.0,1.0,E-11,E-11,0,1.0,1.0,2.0,11.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Dual Setup
532,3.0,9.0,3.0,1.0,1.0,1.0,Sukh Chayn Residence,F-10,0,2.0,8.0,1.0,12.0,1.0,Brand New (2025),Mid-Level,Mid Rise Core,Single/None
3060,1.0,4.0,1.0,1.0,1.0,1.0,Gulberg Heights,Gulberg Greens,0,1.0,1.0,5.0,1.0,0.0,Recently Built,Ground/First Floor,Ground/Flat,High-Capacity
508,3.0,6.0,2.0,1.0,1.0,1.0,The Royal Mall and Residency,Bahria Enclave,1,1.0,1.0,10.0,8.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,High-Capacity
359,1.0,5.0,1.0,2.0,1.0,1.0,F-8,F-8,0,1.0,10.0,4.0,10.0,1.0,Recently Built,Mid-Level,Mid Rise Core,Multiple Bank
5117,2.0,4.0,2.0,1.0,1.0,1.0,E-17,E-17,0,1.0,4.0,2.0,12.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
422,2.0,4.0,2.0,1.0,1.0,1.0,Soan Garden,Soan Garden,0,1.0,1.0,1.0,4.0,0.0,Modern Era,Ground/First Floor,Lower Levels,Single/None
4751,1.0,3.0,1.0,1.0,1.0,1.0,Gulberg Heights,Gulberg Greens,1,1.0,3.0,1.0,6.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Single/None
2108,2.0,6.0,2.0,1.0,1.0,1.0,Bahria Town,Bahria Town,1,1.0,1.0,1.0,1.0,0.0,Recently Built,Ground/First Floor,Ground/Flat,Single/None
3461,2.0,8.0,2.0,1.0,1.0,1.0,E-11,E-11,0,1.0,4.0,4.0,10.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Multiple Bank
1961,5.0,15.0,5.0,1.0,1.0,1.0,Lignum Tower,DHA Phase 2,0,1.0,1.0,1.0,20.0,0.0,Modern Era,Ground/First Floor,High Rise,Single/None
616,1.0,2.0,1.0,1.0,1.0,1.0,Park View City,Park View City,0,1.0,1.0,1.0,6.0,1.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
1036,3.0,6.0,3.0,1.0,1.0,1.0,Gulberg Residencia,Gulberg Residencia,1,1.0,1.0,1.0,5.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
1219,3.0,14.0,3.0,1.0,1.0,1.0,Karakoram Greens,Gulberg Greens,0,1.0,1.0,1.0,16.0,0.0,Brand New (2025),Ground/First Floor,High Rise,Single/None
1825,2.0,5.0,2.0,0.0,1.0,0.0,G-8,G-8,1,1.0,1.0,1.0,1.0,0.0,Recently Built,Ground/First Floor,Ground/Flat,Single/None
3501,2.0,5.0,2.0,1.0,2.0,1.0,Faisal Town,Faisal Town Phase 1,0,1.0,1.0,2.0,3.0,0.0,Recently Built,Ground/First Floor,Lower Levels,Dual Setup
3330,1.0,3.0,1.0,1.0,1.0,1.0,Gulberg Greens,Gulberg Greens,0,1.0,5.0,2.0,8.0,0.0,Future,Lower Floors,Mid Rise Core,Dual Setup
1350,1.0,3.0,1.0,1.0,1.0,1.0,E-11,E-11,0,1.0,6.0,1.0,7.0,0.0,Modern Era,Mid-Level,Mid Rise Core,Single/None
4671,3.0,8.0,3.0,1.0,1.0,1.0,The Galleria,Bahria Enclave,0,1.0,1.0,10.0,10.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,High-Capacity
3286,1.0,2.0,1.0,1.0,1.0,1.0,Bahria Enclave,Bahria Town,0,1.0,1.0,1.0,9.0,0.0,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
407,3.0,7.0,3.0,1.0,1.0,1.0,Al-Ghurair Giga,Al-Ghurair Giga,0,2.0,5.0,2.0,8.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
4579,2.0,3.0,2.0,1.0,1.0,1.0,PWD Housing Scheme,PWD Housing Scheme,0,1.0,3.0,1.0,5.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Single/None
6402,3.0,12.0,3.0,1.0,1.0,1.0,Askari Tower 4,DHA Phase 5,0,1.0,1.0,2.0,1.0,0.0,Brand New (2025),Ground/First Floor,Ground/Flat,Dual Setup
2819,3.0,7.0,3.0,0.0,3.0,1.0,Pine Heights Luxury Apartments,D-17,0,4.0,7.0,3.0,10.0,0.0,Brand New (2025),Mid-Level,Mid Rise Core,Multiple Bank
5324,2.0,5.0,2.0,1.0,1.0,1.0,Top City 1,Top City 1,0,1.0,1.0,1.0,1.0,0.0,Brand New (2025),Ground/First Floor,Ground/Flat,Single/None
5082,2.0,3.0,2.0,1.0,1.0,1.0,MPCHS,B-17,0,4.0,5.0,1.0,5.0,0.0,Brand New (2025),Lower Floors,Mid Rise Core,Single/None
1754,1.0,4.0,1.0,2.0,1.0,0.0,B-17,B-17,0,3.0,1.0,1.0,1.0,0.0,Brand New (2025),Ground/First Floor,Ground/Flat,Single/None
416,2.0,6.0,2.0,2.0,1.0,2.0,Executive Heights,F-11,0,1.0,4.0,1.0,8.0,1.0,Modern Era,Lower Floors,Mid Rise Core,Single/None
1789,4.0,13.0,3.0,1.0,2.0,4.0,Skypark One,Gulberg Greens,0,4.0,7.0,8.0,10.0,0.0,Brand New (2025),Mid-Level,Mid Rise Core,High-Capacity
351,2.0,7.0,2.0,1.0,1.0,1.0,Warda Hamna Residencia 3,G-11,0,1.0,1.0,1.0,7.0,1.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
5787,1.0,3.0,1.0,2.0,1.0,1.0,Eighteen,Kashmir Highway,0,4.0,1.0,4.0,6.0,1.0,Recently Built,Ground/First Floor,Mid Rise Core,Multiple Bank
3793,4.0,11.0,3.0,1.0,1.0,1.0,Askari Tower 2,DHA Phase 2,0,1.0,4.0,2.0,7.0,0.0,Modern Era,Lower Floors,Mid Rise Core,Dual Setup
911,3.0,14.0,3.0,1.0,2.0,1.0,F-11,F-11,0,1.0,3.0,2.0,5.0,0.0,Modern Era,Lower Floors,Mid Rise Core,Dual Setup
5891,2.0,5.0,2.0,1.0,1.0,1.0,Capital Square,B-17,0,2.0,2.0,1.0,12.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Single/None
1208,2.0,6.0,2.0,1.0,1.0,1.0,Bani Gala,Bani Gala,1,4.0,3.0,2.0,6.0,0.0,Modern Era,Lower Floors,Mid Rise Core,Dual Setup
5507,4.0,14.0,3.0,0.0,1.0,1.0,F-11,F-11,1,1.0,3.0,1.0,6.0,0.0,Modern Era,Lower Floors,Mid Rise Core,Single/None
5632,2.0,4.0,2.0,1.0,1.0,1.0,Gulberg Greens,Gulberg Greens,1,1.0,1.0,1.0,8.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
5203,3.0,6.0,2.0,1.0,2.0,1.0,Bahria Enclave,Bahria Enclave,0,1.0,9.0,1.0,9.0,0.0,Recently Built,Mid-Level,Mid Rise Core,Single/None
3136,3.0,9.0,3.0,1.0,1.0,1.0,Sukh Chayn Residence,F-10,0,1.0,4.0,4.0,10.0,1.0,Brand New (2025),Lower Floors,Mid Rise Core,Multiple Bank
2912,2.0,6.0,2.0,1.0,1.0,1.0,The Atrium,Zaraj Housing Scheme,0,1.0,4.0,2.0,9.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
2810,3.0,11.0,3.0,1.0,1.0,0.0,F-11,F-11,0,1.0,1.0,1.0,9.0,0.0,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
1630,3.0,10.0,3.0,1.0,1.0,1.0,Askari Tower 1,DHA Phase 2,1,1.0,1.0,2.0,7.0,0.0,Modern Era,Ground/First Floor,Mid Rise Core,Dual Setup
968,2.0,6.0,2.0,1.0,1.0,1.0,Top City 1,Top City 1,0,1.0,7.0,3.0,9.0,0.0,Recently Built,Mid-Level,Mid Rise Core,Multiple Bank
5709,5.0,19.0,4.0,1.0,1.0,1.0,Karakoram Enclave 1,Karakoram Enclave 1,0,2.0,4.0,2.0,7.0,0.0,Established,Lower Floors,Mid Rise Core,Dual Setup
1094,2.0,4.0,2.0,1.0,1.0,0.0,I-16,I-16,0,1.0,1.0,2.0,1.0,0.0,Recently Built,Ground/First Floor,Ground/Flat,Dual Setup
1217,1.0,5.0,1.0,2.0,1.0,2.0,Al-Safa Heights,F-11,0,3.0,5.0,2.0,7.0,0.0,Future,Lower Floors,Mid Rise Core,Dual Setup
6473,2.0,3.0,2.0,1.0,1.0,1.0,Rania Heights,Zaraj Housing Scheme,0,1.0,5.0,2.0,7.0,0.0,Modern Era,Lower Floors,Mid Rise Core,Dual Setup
6218,2.0,11.0,2.0,0.0,1.0,0.0,Faisal Town Phase 1,Faisal Town Phase 1,0,1.0,6.0,1.0,7.0,0.0,Recently Built,Mid-Level,Mid Rise Core,Single/None
474,1.0,5.0,1.0,1.0,1.0,1.0,Gulberg Heights,Gulberg Greens,0,1.0,1.0,1.0,6.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
5369,2.0,5.0,2.0,2.0,2.0,2.0,Al-Ghurair Giga,Al-Ghurair Giga,0,1.0,1.0,2.0,7.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Dual Setup
2573,3.0,5.0,3.0,1.0,1.0,1.0,Smama Star Mall & Residency,Gulberg Greens,0,1.0,3.0,1.0,7.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Single/None
1037,4.0,9.0,3.0,0.0,1.0,0.0,Bhara kahu,Bhara kahu,0,1.0,1.0,1.0,1.0,0.0,Recently Built,Ground/First Floor,Ground/Flat,Single/None
4580,2.0,7.0,2.0,1.0,1.0,1.0,Karakoram Greens,Gulberg Greens,0,1.0,1.0,1.0,16.0,0.0,Brand New (2025),Ground/First Floor,High Rise,Single/None
4520,2.0,4.0,2.0,1.0,1.0,1.0,Soan Garden,Soan Garden,0,1.0,4.0,1.0,6.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Single/None
346,2.0,7.0,1.0,1.0,1.0,1.0,The Centaurus,F-8,0,1.0,1.0,4.0,10.0,1.0,Established,Ground/First Floor,Mid Rise Core,Multiple Bank
393,3.0,10.0,3.0,1.0,2.0,1.0,Askari Heights 4,DHA Phase 5,1,1.0,1.0,1.0,12.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
4087,1.0,3.0,1.0,1.0,1.0,1.0,Zarkon Heights,G-15,0,1.0,3.0,2.0,9.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
155,2.0,6.0,2.0,1.0,1.0,1.0,Goldcrest Views,DHA Phase 2,0,1.0,26.0,5.0,34.0,0.0,Future,High-Rise,Skyscarper,High-Capacity
3069,1.0,3.0,1.0,1.0,1.0,1.0,Faisal Hills,Faisal Hills,0,1.0,4.0,1.0,7.0,0.0,Brand New (2025),Lower Floors,Mid Rise Core,Single/None
4592,2.0,6.0,2.0,1.0,1.0,1.0,G-11,G-11,0,1.0,1.0,3.0,10.0,1.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Multiple Bank
5376,2.0,6.0,2.0,1.0,1.0,1.0,Top City 1,Top City 1,0,4.0,2.0,4.0,9.0,0.0,Brand New (2025),Lower Floors,Mid Rise Core,Multiple Bank
1827,2.0,9.0,2.0,1.0,1.0,1.0,Diplomatic Enclave,Diplomatic Enclave,0,1.0,3.0,2.0,4.0,1.0,Modern Era,Lower Floors,Lower Levels,Dual Setup
1823,1.0,4.0,1.0,1.0,1.0,1.0,Park View City,Park View City,0,1.0,1.0,1.0,4.0,0.0,Recently Built,Ground/First Floor,Lower Levels,Single/None
2937,4.0,11.0,3.0,1.0,1.0,1.0,Bahria Enclave,Bahria Town,0,2.0,1.0,10.0,9.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,High-Capacity
2742,2.0,4.0,2.0,1.0,1.0,11.0,F-17,F-17,0,1.0,1.0,1.0,4.0,0.0,Brand New (2025),Ground/First Floor,Lower Levels,Single/None
4060,5.0,12.0,3.0,1.0,2.0,1.0,Askari Heights 4,DHA Phase 5,0,1.0,1.0,1.0,12.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
4701,2.0,8.0,2.0,1.0,1.0,1.0,G-11,G-11,1,1.0,2.0,3.0,10.0,1.0,Brand New (2025),Lower Floors,Mid Rise Core,Multiple Bank
7,2.0,6.0,2.0,1.0,1.0,1.0,Diplomatic Enclave,Diplomatic Enclave,0,1.0,1.0,1.0,11.0,1.0,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
5261,1.0,7.0,1.0,0.0,1.0,0.0,Mall of Islamabad,Blue Area,0,1.0,1.0,1.0,1.0,1.0,Brand New (2025),Ground/First Floor,Ground/Flat,Single/None
6474,2.0,4.0,2.0,1.0,2.0,1.0,Zaraj Housing Scheme,Zaraj Housing Scheme,0,1.0,3.0,2.0,5.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
356,5.0,12.0,3.0,1.0,1.0,1.0,The Centaurus,F-8,0,1.0,1.0,4.0,1.0,1.0,Recently Built,Ground/First Floor,Ground/Flat,Multiple Bank
371,5.0,12.0,3.0,1.0,1.0,1.0,The Centaurus,F-8,0,1.0,1.0,4.0,10.0,1.0,Recently Built,Ground/First Floor,Mid Rise Core,Multiple Bank
4483,4.0,11.0,3.0,1.0,1.0,1.0,DHA Phase 2,DHA Phase 2,0,1.0,1.0,2.0,7.0,0.0,Modern Era,Ground/First Floor,Mid Rise Core,Dual Setup
361,5.0,12.0,3.0,1.0,1.0,1.0,The Centaurus,F-8,0,1.0,1.0,4.0,10.0,1.0,Recently Built,Ground/First Floor,Mid Rise Core,Multiple Bank
1870,2.0,10.0,2.0,1.0,1.0,1.0,The Centaurus,F-8,1,1.0,1.0,4.0,1.0,1.0,Recently Built,Ground/First Floor,Ground/Flat,Multiple Bank
4234,2.0,4.0,2.0,1.0,1.0,1.0,Al-Ghurair Giga,Al-Ghurair Giga,1,1.0,1.0,2.0,10.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Dual Setup
2592,2.0,3.0,2.0,1.0,1.0,0.0,PWD Housing Scheme,PWD Housing Scheme,0,1.0,1.0,1.0,5.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
6227,2.0,4.0,2.0,1.0,1.0,1.0,Faisal Town Phase 1,Faisal Town Phase 1,0,1.0,1.0,1.0,1.0,0.0,Brand New (2025),Ground/First Floor,Ground/Flat,Single/None
4515,3.0,5.0,3.0,1.0,1.0,1.0,Soan Garden,Soan Garden,0,1.0,1.0,1.0,3.0,0.0,Recently Built,Ground/First Floor,Lower Levels,Single/None
1793,3.0,11.0,3.0,1.0,1.0,1.0,Bahria Enclave,Bahria Town,0,2.0,3.0,1.0,5.0,0.0,Brand New (2025),Lower Floors,Mid Rise Core,Single/None
2935,1.0,2.0,1.0,1.0,1.0,1.0,Gulberg Rabi Center,Gulberg Rabi Center,0,1.0,3.0,1.0,10.0,0.0,Brand New (2025),Lower Floors,Mid Rise Core,Single/None
3352,1.0,1.0,1.0,0.0,1.0,0.0,Gulberg Greens,Gulberg Greens,0,1.0,5.0,1.0,8.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Single/None
2454,2.0,3.0,2.0,1.0,1.0,1.0,Jinnah Gardens,FECHS,0,1.0,2.0,2.0,4.0,0.0,Recently Built,Lower Floors,Lower Levels,Dual Setup
3341,3.0,11.0,3.0,1.0,1.0,1.0,Askari Tower 4,DHA Phase 5,0,1.0,1.0,1.0,12.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
3861,5.0,22.0,3.0,2.0,1.0,1.0,Luxus Mall and Residency,Gulberg Greens,0,1.0,1.0,1.0,5.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
4987,2.0,6.0,2.0,1.0,1.0,1.0,Bahria Enclave,Bahria Town,0,1.0,4.0,3.0,9.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Multiple Bank
5000,2.0,3.0,2.0,1.0,1.0,1.0,Gulberg Greens,Gulberg Greens,0,1.0,3.0,1.0,6.0,0.0,Brand New (2025),Lower Floors,Mid Rise Core,Single/None
5673,2.0,4.0,2.0,1.0,1.0,1.0,E-17,E-17,1,4.0,4.0,2.0,12.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
1691,1.0,2.0,1.0,1.0,1.0,1.0,Bahria Enclave,Bahria Enclave,1,2.0,13.0,4.0,9.0,0.0,Recently Built,High-Rise,Mid Rise Core,Multiple Bank
5560,3.0,7.0,2.0,2.0,2.0,2.0,Cube Apartments,Bahria Enclave,0,1.0,1.0,1.0,9.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
6414,1.0,4.0,1.0,0.0,1.0,0.0,F-11,F-11,0,1.0,1.0,1.0,9.0,0.0,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
4998,1.0,3.0,1.0,1.0,1.0,2.0,B-17,B-17,0,1.0,18.0,6.0,18.0,0.0,Brand New (2025),High-Rise,High Rise,High-Capacity
418,1.0,4.0,1.0,1.0,1.0,1.0,Executive Apartments,DHA Phase 2,0,1.0,1.0,5.0,1.0,0.0,Recently Built,Ground/First Floor,Ground/Flat,High-Capacity
2356,3.0,6.0,2.0,1.0,1.0,1.0,Zarkon Heights,G-15,0,1.0,5.0,2.0,6.0,0.0,Brand New (2025),Lower Floors,Mid Rise Core,Dual Setup
3945,2.0,4.0,2.0,1.0,1.0,1.0,Gulberg Greens,Gulberg Greens,0,1.0,4.0,1.0,6.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Single/None
3934,2.0,4.0,2.0,1.0,1.0,0.0,Zara Heights,H-13,0,4.0,8.0,2.0,10.0,0.0,Recently Built,Mid-Level,Mid Rise Core,Dual Setup
2631,2.0,6.0,2.0,0.0,1.0,0.0,Executive Heights,F-11,0,2.0,1.0,2.0,5.0,1.0,Recently Built,Ground/First Floor,Mid Rise Core,Dual Setup
4667,1.0,2.0,1.0,1.0,1.0,1.0,G-13,G-13,1,1.0,1.0,1.0,16.0,0.0,Brand New (2025),Ground/First Floor,High Rise,Single/None
3140,2.0,3.0,2.0,1.0,1.0,1.0,I-12,I-12,0,1.0,4.0,2.0,9.0,0.0,Future,Lower Floors,Mid Rise Core,Dual Setup
4703,3.0,6.0,2.0,0.0,1.0,0.0,Goldcrest Views,DHA Phase 2,0,1.0,1.0,5.0,40.0,0.0,Future,Ground/First Floor,Skyscarper,High-Capacity
4573,1.0,3.0,1.0,1.0,1.0,1.0,Residency,DHA Phase 2,1,1.0,1.0,1.0,1.0,0.0,Recently Built,Ground/First Floor,Ground/Flat,Single/None
313,3.0,6.0,3.0,2.0,1.0,1.0,Gulberg Greens,Gulberg Greens,0,1.0,1.0,1.0,4.0,0.0,Recently Built,Ground/First Floor,Lower Levels,Single/None
1131,1.0,2.0,1.0,1.0,1.0,1.0,D-17,D-17,0,1.0,1.0,1.0,4.0,0.0,Modern Era,Ground/First Floor,Lower Levels,Single/None
3307,1.0,3.0,1.0,1.0,1.0,1.0,Gulberg Heights,Gulberg Greens,0,1.0,1.0,1.0,6.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
2948,3.0,7.0,2.0,0.0,1.0,0.0,Karakoram Diplomatic Enclave,Karakoram Diplomatic Enclave,0,1.0,1.0,2.0,11.0,1.0,Modern Era,Ground/First Floor,Mid Rise Core,Dual Setup
4309,1.0,4.0,1.0,1.0,1.0,1.0,Goldcrest Highlife,DHA Phase 2,0,1.0,20.0,5.0,34.0,0.0,Future,High-Rise,Skyscarper,High-Capacity
971,4.0,11.0,4.0,1.0,1.0,1.0,Capital Residencia,Margalla Hills-2,0,1.0,9.0,2.0,15.0,0.0,Recently Built,Mid-Level,High Rise,Dual Setup
876,1.0,4.0,1.0,1.0,1.0,1.0,Elysium Mall,Blue Area,0,1.0,1.0,4.0,17.0,1.0,Recently Built,Ground/First Floor,High Rise,Multiple Bank
563,3.0,6.0,2.0,1.0,1.0,0.0,Zeta-1 Mall,GT Road,0,1.0,1.0,1.0,1.0,1.0,Recently Built,Ground/First Floor,Ground/Flat,Single/None
6067,4.0,12.0,3.0,1.0,1.0,1.0,The Centaurus,F-8,0,1.0,1.0,4.0,1.0,1.0,Modern Era,Ground/First Floor,Ground/Flat,Multiple Bank
1561,2.0,3.0,2.0,1.0,1.0,1.0,Soan Garden,Soan Garden,1,1.0,1.0,1.0,6.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
5231,6.0,13.0,4.0,1.0,1.0,4.0,Skypark One,Gulberg Greens,0,4.0,1.0,1.0,9.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
475,4.0,12.0,4.0,1.0,1.0,1.0,Sukh Chayn Residence,F-10,0,2.0,4.0,6.0,15.0,1.0,Recently Built,Lower Floors,High Rise,High-Capacity
4665,3.0,7.0,3.0,1.0,1.0,1.0,G-15,G-15,0,1.0,1.0,1.0,21.0,0.0,Modern Era,Ground/First Floor,High Rise,Single/None
4642,2.0,5.0,2.0,1.0,1.0,1.0,Zarkon Heights,G-15,0,1.0,3.0,2.0,9.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
1048,4.0,9.0,3.0,1.0,1.0,1.0,Sukh Chayn Residence,F-10,0,2.0,8.0,2.0,12.0,1.0,Brand New (2025),Mid-Level,Mid Rise Core,Dual Setup
6241,2.0,4.0,2.0,2.0,1.0,1.0,Faisal Town,Faisal Town Phase 1,0,1.0,6.0,2.0,10.0,0.0,Modern Era,Mid-Level,Mid Rise Core,Dual Setup
5105,2.0,6.0,2.0,1.0,1.0,1.0,Top City 1,Top City 1,0,2.0,6.0,3.0,9.0,0.0,Recently Built,Mid-Level,Mid Rise Core,Multiple Bank
5726,1.0,2.0,1.0,2.0,1.0,1.0,Diamond Mall & Residency,Gulberg Greens,0,1.0,3.0,1.0,8.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Single/None
50,2.0,5.0,1.0,1.0,1.0,1.0,Cube Apartments,Bahria Enclave,0,1.0,4.0,2.0,9.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
1837,4.0,9.0,3.0,0.0,1.0,0.0,F-10,F-10,0,1.0,1.0,1.0,1.0,1.0,Brand New (2025),Ground/First Floor,Ground/Flat,Single/None
4743,2.0,9.0,2.0,1.0,1.0,1.0,Karakoram Greens,Gulberg Greens,0,1.0,1.0,1.0,16.0,0.0,Brand New (2025),Ground/First Floor,High Rise,Single/None
4051,2.0,5.0,2.0,0.0,1.0,0.0,MPCHS,MPCHS - Multi Gardens,0,2.0,1.0,1.0,1.0,0.0,Future,Ground/First Floor,Ground/Flat,Single/None
2718,3.0,10.0,4.0,1.0,1.0,1.0,G-11,G-11,0,1.0,1.0,3.0,10.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Multiple Bank
1062,2.0,3.0,2.0,1.0,1.0,1.0,G-15,G-15,1,2.0,1.0,1.0,5.0,0.0,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
3420,2.0,3.0,2.0,1.0,1.0,1.0,G-11,G-11,0,2.0,1.0,3.0,4.0,1.0,Modern Era,Ground/First Floor,Lower Levels,Multiple Bank
2283,2.0,6.0,2.0,1.0,1.0,1.0,Faisal Town Phase 1,Faisal Town Phase 1,0,1.0,9.0,4.0,16.0,0.0,Brand New (2025),Mid-Level,High Rise,Multiple Bank
1633,3.0,8.0,2.0,1.0,1.0,1.0,Gulberg Greens,Gulberg Greens,0,4.0,13.0,5.0,22.0,0.0,Recently Built,High-Rise,High Rise,High-Capacity
4913,3.0,13.0,3.0,2.0,1.0,1.0,F-10,F-10,0,4.0,1.0,4.0,1.0,1.0,Future,Ground/First Floor,Ground/Flat,Multiple Bank
5064,2.0,6.0,2.0,0.0,1.0,0.0,One Constitution Avenue,Constitution Avenue,0,1.0,1.0,1.0,1.0,1.0,Recently Built,Ground/First Floor,Ground/Flat,Single/None
2171,2.0,4.0,2.0,1.0,1.0,1.0,Faisal Town,Faisal Town Phase 1,1,1.0,1.0,1.0,5.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
3521,3.0,7.0,3.0,1.0,1.0,1.0,Margalla View Society,Margalla View Housing Society,0,1.0,1.0,1.0,1.0,0.0,Modern Era,Ground/First Floor,Ground/Flat,Single/None
3591,2.0,4.0,2.0,1.0,1.0,1.0,I-16,I-16,0,1.0,2.0,2.0,7.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
6180,3.0,9.0,3.0,1.0,1.0,1.0,Diplomatic Enclave,Diplomatic Enclave,0,2.0,4.0,4.0,7.0,1.0,Recently Built,Lower Floors,Mid Rise Core,Multiple Bank
3977,3.0,11.0,3.0,1.0,1.0,1.0,Askari Heights 4,DHA Phase 5,0,1.0,1.0,2.0,12.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Dual Setup
1880,4.0,22.0,4.0,1.0,1.0,1.0,Constitution Avenue,Constitution Avenue,0,1.0,2.0,3.0,23.0,1.0,Recently Built,Lower Floors,High Rise,Multiple Bank
2767,3.0,5.0,3.0,2.0,1.0,0.0,Capital Resorts,E-11,0,1.0,6.0,3.0,15.0,0.0,Future,Mid-Level,High Rise,Multiple Bank
4608,2.0,4.0,2.0,1.0,1.0,1.0,I-12,I-12,1,1.0,1.0,2.0,9.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Dual Setup
4072,3.0,5.0,3.0,1.0,1.0,1.0,Al-Ghurair Giga,Al-Ghurair Giga,1,1.0,1.0,2.0,10.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Dual Setup
6005,1.0,2.0,1.0,1.0,1.0,1.0,Gulberg Business Square,Gulberg Greens,1,4.0,3.0,2.0,5.0,0.0,Modern Era,Lower Floors,Mid Rise Core,Dual Setup
561,1.0,2.0,1.0,2.0,1.0,2.0,Faisal Hills,Faisal Hills,0,1.0,1.0,1.0,8.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
3725,4.0,16.0,4.0,1.0,2.0,1.0,F-11,F-11,0,1.0,4.0,1.0,9.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Single/None
2002,3.0,9.0,3.0,1.0,1.0,1.0,Deans Apartments,G-11,1,1.0,1.0,1.0,1.0,1.0,Recently Built,Ground/First Floor,Ground/Flat,Single/None
